Y,M,D,H,DTW_ft,DTW_m
2013,10,8,9,152.03,46.338744
2013,10,8,10,152.03,46.338744
2013,10,8,11,152.03,46.338744
2013,10,8,12,152.03,46.338744
2013,10,8,13,152.03,46.338744
2013,10,8,14,152.02,46.335696
2013,10,8,15,152.02,46.335696
2013,10,8,16,152.01,46.332648
2013,10,8,17,152,46.3296
2013,10,8,18,151.98,46.323504
2013,10,8,19,151.97,46.320456
2013,10,8,20,151.96,46.317408
2013,10,8,21,151.95,46.31436
2013,10,8,22,151.95,46.31436
2013,10,8,23,151.95,46.31436
2013,10,9,0,151.95,46.31436
2013,10,9,1,151.95,46.31436
2013,10,9,2,151.95,46.31436
2013,10,9,3,151.95,46.31436
2013,10,9,4,151.96,46.317408
2013,10,9,5,151.96,46.317408
2013,10,9,6,151.97,46.320456
2013,10,9,7,151.97,46.320456
2013,10,9,8,151.97,46.320456
2013,10,9,9,151.97,46.320456
2013,10,9,10,151.97,46.320456
2013,10,9,11,151.96,46.317408
2013,10,9,12,151.97,46.320456
2013,10,9,13,151.96,46.317408
2013,10,9,14,151.96,46.317408
2013,10,9,15,151.94,46.311312
2013,10,9,16,151.93,46.308264
2013,10,9,17,151.92,46.305216
2013,10,9,18,151.9,46.29912
2013,10,9,19,151.88,46.293024
2013,10,9,20,151.87,46.289976
2013,10,9,21,151.86,46.286928
2013,10,9,22,151.85,46.28388
2013,10,9,23,151.84,46.280832
2013,10,10,0,151.84,46.280832
2013,10,10,1,151.83,46.277784
2013,10,10,2,151.82,46.274736
2013,10,10,3,151.82,46.274736
2013,10,10,4,151.82,46.274736
2013,10,10,5,151.81,46.271688
2013,10,10,6,151.81,46.271688
2013,10,10,7,151.8,46.26864
2013,10,10,8,151.8,46.26864
2013,10,10,9,151.8,46.26864
2013,10,10,10,151.8,46.26864
2013,10,10,11,151.8,46.26864
2013,10,10,12,151.79,46.265592
2013,10,10,13,151.79,46.265592
2013,10,10,14,151.78,46.262544
2013,10,10,15,151.76,46.256448
2013,10,10,16,151.75,46.2534
2013,10,10,17,151.71,46.241208
2013,10,10,18,151.69,46.235112
2013,10,10,19,151.66,46.225968
2013,10,10,20,151.63,46.216824
2013,10,10,21,151.59,46.204632
2013,10,10,22,151.58,46.201584
2013,10,10,23,151.56,46.195488
2013,10,11,0,151.54,46.189392
2013,10,11,1,151.53,46.186344
2013,10,11,2,151.53,46.186344
2013,10,11,3,151.52,46.183296
2013,10,11,4,151.51,46.180248
2013,10,11,5,151.5,46.1772
2013,10,11,6,151.5,46.1772
2013,10,11,7,151.49,46.174152
2013,10,11,8,151.49,46.174152
2013,10,11,9,151.49,46.174152
2013,10,11,10,151.49,46.174152
2013,10,11,11,151.5,46.1772
2013,10,11,12,151.5,46.1772
2013,10,11,13,151.5,46.1772
2013,10,11,14,151.5,46.1772
2013,10,11,15,151.51,46.180248
2013,10,11,16,151.51,46.180248
2013,10,11,17,151.51,46.180248
2013,10,11,18,151.52,46.183296
2013,10,11,19,151.52,46.183296
2013,10,11,20,151.53,46.186344
2013,10,11,21,151.54,46.189392
2013,10,11,22,151.54,46.189392
2013,10,11,23,151.54,46.189392
2013,10,12,0,151.55,46.19244
2013,10,12,1,151.55,46.19244
2013,10,12,2,151.55,46.19244
2013,10,12,3,151.55,46.19244
